1,3.111385069274902e-9,3.1575204963777542e-12
2,3.302021920776368e-9,2.2600158967354573e-12
4,3.3255130859374984e-9,7.312222454310159e-12
8,3.115688955688476e-9,3.4512561127751783e-12
16,4.3514536026000985e-9,5.423018529393031e-12
32,4.873327976989746e-9,3.142920995931445e-12
64,6.592635403442383e-9,3.6217542008125276e-12
128,1.0362330249023441e-8,2.3908513964085165e-11
256,1.9185645745849604e-8,2.9637412691651503e-12
512,3.0884517822265654e-8,4.119889441419625e-12
1024,3.84196015625e-8,6.909398226776158e-11
2048,8.28182529052734e-8,8.027123650182034e-12
4096,1.4062911669921877e-7,4.874226438894101e-11
8192,2.856626002929689e-7,3.332383612121049e-11
16384,5.46606053710938e-7,7.712321433682722e-11
32768,9.877139363281247e-7,4.6986284109547074e-11
65536,1.9560993453125012e-6,1.0246400611911836e-10
131072,3.7218159421875e-6,3.823110872811528e-10
262144,7.3938154437500016e-6,1.0520990283673742e-10
524288,1.4809610506250004e-5,1.9543004598925707e-10
1048576,2.9536581687499983e-5,2.7290493942732217e-10
